UO ID,Sample Name,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,,,
T501,31,6:0AC,2.44E+03,7.90E+04,0.0309,18.02,6.9,,,
T501,31,8:0AC,8.56E+03,7.90E+04,0.1084,16.13,17.9,,,
T502,32,10:0AC,9.57E+03,7.78E+04,0.123,15.19,20.0,,,
T502,32,12:0 AC,4.68E+03,7.78E+04,0.0602,14.73,11.1,,,
T502,32,14:0 AC,1.84E+04,7.78E+04,0.2369,14.34,36.2,,,
T502,32,16:0 AC,1.31E+05,7.78E+04,1.6774,14.04,241.4,,,
T502,32,16:1 AC,1.67E+04,7.78E+04,0.2148,14.15,33.1,,,
T502,32,18:0 AC,8.70E+04,7.78E+04,1.1188,13.8,161.9,,,
T502,32,18:1 AC,1.28E+05,7.78E+04,1.6484,13.9,237.3,,,
T502,32,18:2 AC,8.67E+04,7.78E+04,1.114,14.05,161.2,,,
T502,32,18:3 AC,7.53E+03,7.78E+04,0.0968,14.2,16.3,,,
T502,32,4:0AC,3.97E+03,7.78E+04,0.051,24.45,9.7,,,
T502,32,6:0AC,4.48E+03,7.78E+04,0.0576,17.97,10.7,,,
T502,32,8:0AC,9.77E+03,7.78E+04,0.1255,16.02,20.4,,,
T503,33,10:0AC,7.84E+03,7.80E+04,0.1005,15.34,16.8,,,
T503,33,12:0 AC,2.54E+03,7.80E+04,0.0326,14.84,7.1,,,
